,MATCHUP,PTS,FG%,3P%,FT%,OREB,DREB,AST,STL,BLK,TOV,PF
0,DAL @ MEM,-1.0,-1.1000000000000014,1.6999999999999993,21.799999999999997,-5.0,-4.0,-3.0,4.0,3.0,-4.0,7.0
1,MEM vs. DAL,1.0,1.1000000000000014,-1.6999999999999993,-21.799999999999997,5.0,4.0,3.0,-4.0,-3.0,4.0,-7.0
2,LAL @ SAS,14.0,6.5,19.6,0.5999999999999943,-7.0,3.0,10.0,-4.0,-1.0,-8.0,-3.0
3,SAC vs. PHX,-14.0,-6.5,-19.6,-0.5999999999999943,7.0,-3.0,-10.0,4.0,1.0,8.0,3.0
4,PHX @ SAC,5.0,3.5,18.9,2.700000000000003,-6.0,-8.0,-3.0,1.0,2.0,-6.0,1.0
5,SAC vs. PHX,-5.0,-3.5,-18.9,-2.700000000000003,6.0,8.0,3.0,-1.0,-2.0,6.0,-1.0
6,HOU @ NOP,-5.0,-9.199999999999996,-3.299999999999997,1.7000000000000028,2.0,-3.0,-1.0,-7.0,-6.0,6.0,-2.0
7,NOP vs. HOU,5.0,9.199999999999996,3.299999999999997,-1.7000000000000028,-2.0,3.0,1.0,7.0,6.0,-6.0,2.0
8,DET @ OKC,-1.0,6.399999999999999,20.400000000000002,-14.299999999999997,-9.0,1.0,-3.0,-4.0,-4.0,2.0,6.0
9,OKC vs. DET,1.0,-6.399999999999999,-20.400000000000002,14.299999999999997,9.0,-1.0,3.0,4.0,4.0,-2.0,-6.0
10,IND @ ORL,15.0,6.100000000000001,14.5,1.9000000000000057,6.0,6.0,12.0,-4.0,-3.0,2.0,1.0
11,ORL vs. IND,-15.0,-6.100000000000001,-14.5,-1.9000000000000057,-6.0,-6.0,-12.0,4.0,3.0,-2.0,-1.0
12,ATL @ MIL,-19.0,12.699999999999996,1.2999999999999972,3.0,-9.0,-6.0,5.0,1.0,-3.0,-3.0,-6.0
13,MIN vs. UTA,19.0,-12.699999999999996,-1.2999999999999972,-3.0,9.0,6.0,-5.0,-1.0,3.0,3.0,6.0
14,PHI @ MIA,-30.0,10.199999999999996,11.5,9.700000000000003,-8.0,-2.0,0.0,3.0,0.0,3.0,-2.0
15,MIN vs. UTA,30.0,-10.199999999999996,-11.5,-9.700000000000003,8.0,2.0,0.0,-3.0,0.0,-3.0,2.0
16,UTA @ MIN,6.0,7.899999999999999,-7.0,5.0,9.0,6.0,6.0,-2.0,4.0,3.0,10.0
17,MIN vs. UTA,-6.0,-7.899999999999999,7.0,-5.0,-9.0,-6.0,-6.0,2.0,-4.0,-3.0,-10.0
18,BKN @ CLE,-29.0,-14.899999999999999,-8.0,-8.5,-7.0,-8.0,-11.0,-1.0,-6.0,3.0,-2.0
19,CLE vs. BKN,29.0,14.899999999999999,8.0,8.5,7.0,8.0,11.0,1.0,6.0,-3.0,2.0
20,ATL @ MIL,8.0,2.0,-5.600000000000001,4.599999999999994,-7.0,-6.0,4.0,8.0,-3.0,-8.0,-3.0
21,MIL vs. ATL,-8.0,-2.0,5.600000000000001,-4.599999999999994,7.0,6.0,-4.0,-8.0,3.0,8.0,3.0
